,image_name,tags,haze,primary,agriculture,clear,water,habitation,road,cultivation,slash_burn,cloudy,partly_cloudy,conventional_mine,bare_ground,artisinal_mine,blooming,selective_logging,blow_down
8508,train_8508,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33126,train_33126,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34174,train_34174,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34309,train_34309,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15733,train_15733,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20715,train_20715,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16936,train_16936,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23428,train_23428,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36306,train_36306,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21988,train_21988,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32243,train_32243,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21610,train_21610,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2261,train_2261,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22303,train_22303,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3583,train_3583,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23502,train_23502,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11696,train_11696,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11271,train_11271,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31684,train_31684,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25652,train_25652,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9264,train_9264,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6787,train_6787,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17507,train_17507,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19360,train_19360,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28420,train_28420,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8447,train_8447,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21975,train_21975,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36119,train_36119,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6875,train_6875,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40433,train_40433,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
355,train_355,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21659,train_21659,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36692,train_36692,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3392,train_3392,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8146,train_8146,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31692,train_31692,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36547,train_36547,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23408,train_23408,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10861,train_10861,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
